assessid,family,species,r_fam_mu,r_fam_sd,r_spp_mu,r_spp_sd,r_stock_mu,r_stock_sd,r_orig
ICCAT-SKJEATL-1950-2006-JENSEN,Scombridae,Katsuwonus pelamis,-0.955109392,0.020134239,-0.94645367,0.964988379,0.281531947,0.021897,0.28333
ICCAT-SKJWATL-1952-2006-JENSEN,Scombridae,Katsuwonus pelamis,-0.955109392,0.020134239,-0.94645367,0.964988379,0.156711474,0.015248,0.15682
MARAM-SSLOBSTERSASC-1973-2008-Johnston,Palinuridae,Palinurus gilchristi,-0.167880574,0.041688019,-0.093598819,0.050467848,-0.032949101,0.095697,0.035849
WGNSSK-SEELNS-1983-2007-MINTO,Ammodytidae,Ammodytes marinus,-0.110833625,0.066005628,-0.10104763,0.134302082,-0.09043067,0.20222,-0.0043938
INIDEP-ARGHAKESARG-1985-2008-Parma,Merlucciidae,Merluccius hubbsi,-1.12536129,0.513029094,-0.123085899,0.02787123,-0.10497584,0.082768,-0.037318
INIDEP-ARGHAKENARG-1985-2007-Parma,Merlucciidae,Merluccius hubbsi,-1.12536129,0.513029094,-0.123085899,0.02787123,-0.129622313,0.064143,-0.15297
WGBFAS-CODBA2224-1969-2007-JENNINGS,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.288732709,0.040247,-0.27616
WGBFAS-CODKAT-1970-2006-MINTO,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.397325335,0.09309,-0.35878
ICCAT-SWORDNATL-1978-2007-JENSEN,Xiphiidae,Xiphias gladius,-0.975256508,0.022543226,-0.97124101,0.625852833,-0.422967356,0.066966,-0.40882
WGNSDS-CODIS-1968-2006-MINTO,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.436882982,0.066472,-0.41472
NWWG-CAPEICE-1977-2007-MINTO,Osmeridae,Mallotus villosus,-0.48439183,0.037048699,-0.473816445,0.06930862,-0.460104274,0.25762,-0.28558
DFO-PAC-ESOLEHS-1944-2001-COLLIE,Pleuronectidae,Parophrys vetulus,-1.3535347,0.816781529,-1.094995176,0.513785327,-0.466204518,0.13403,-0.41125
WGNSDS-CODVIa-1977-2006-MINTO,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.471075921,0.099984,-0.43659
WGNSSK-CODNS-1962-2007-MINTO,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.476750957,0.18436,-0.35717
AFWG-CAPENOR-1965-2007-MINTO,Osmeridae,Mallotus villosus,-0.48439183,0.037048699,-0.473816445,0.06930862,-0.480577227,0.5357,-0.84752
NEFSC-BSBASSMATLC-1968-2007-SHEPHERD,Serranidae,Centropristis striata,-0.860622384,0.231661722,-0.646821288,0.057983769,-0.481690626,0.098103,-0.42846
WGSSDS-PLAICCELT-1976-2006-JENNINGS,Pleuronectidae,Pleuronectes platessa,-1.3535347,0.816781529,-0.504984555,0.047656728,-0.486006726,0.19199,-0.26674
SEFSC-MENATGM-1964-2004-GILROY,Clupeidae,Brevoortia patronus,-0.803065534,0.226527241,-0.541761877,0.199999306,-0.498652819,0.18303,-0.29785
WGNSDS-PLAICIS-1962-2006-MINTO,Pleuronectidae,Pleuronectes platessa,-1.3535347,0.816781529,-0.504984555,0.047656728,-0.502491503,0.16911,-0.48627
WGSSDS-PLAICECHW-1975-2006-JENNINGS,Pleuronectidae,Pleuronectes platessa,-1.3535347,0.816781529,-0.504984555,0.047656728,-0.51632447,0.20131,-0.68799
ICCAT-YFINATL-1970-2006-JENSEN,Scombridae,Thunnus albacares,-0.955109392,0.020134239,-0.957736468,0.521623124,-0.543363521,0.12357,-0.48184
WGHMM-SOLEVIII-1982-2006-JENNINGS,Soleidae,Solea vulgaris,-0.792110152,0.104784216,-0.787951536,0.170777357,-0.564205369,0.035179,-0.55799
AFWG-CODNEAR-1943-2006-MINTO,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.570816564,0.08513,-0.55753
NEFSC-CODGB-1960-2008-BAUM,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.589520333,0.047782,-0.58273
RIDEM-TAUTOGRI-1959-2007-COLLIE,Labridae,Tautoga onitis,-0.612830797,0.031007801,-0.607245436,0.04998908,-0.601063714,0.11978,-0.58614
NWWG-HADICE-1977-2007-MINTO,Gadidae,Melanogrammus aeglefinus,-0.832529998,0.17817373,-0.80228666,0.26048854,-0.625275632,0.073799,-0.56192
AFWG-HADNEAR-1947-2006-MINTO,Gadidae,Melanogrammus aeglefinus,-0.832529998,0.17817373,-0.80228666,0.26048854,-0.631504858,0.17215,-0.39916
NEFSC-YELLGB-1935-2008-BAUM,Pleuronectidae,Limanda ferruginea,-1.3535347,0.816781529,-0.664008528,0.046904483,-0.642296184,0.12045,-0.50525
NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON,Pleuronectidae,Pseudopleuronectes americanus,-1.3535347,0.816781529,-0.664182845,0.117922038,-0.643443665,0.20297,-0.37441
NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO,Pleuronectidae,Pseudopleuronectes americanus,-1.3535347,0.816781529,-0.664182845,0.117922038,-0.656052656,0.082823,-0.62056
NWWG-CODFAPL-1959-2006-MINTO,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.661246642,0.18673,-0.61697
WGBFAS-CODBA2532-1964-2007-JENNINGS,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.663199039,0.056188,-0.66008
NMFS-MENATLAN-1940-2005-STANTON,Clupeidae,Brevoortia tyrannus,-0.803065534,0.226527241,-0.679584216,0.034464894,-0.671046132,0.15013,-0.58904
WGBFAS-SOLEIIIa-1982-2007-JENNINGS,Soleidae,Solea vulgaris,-0.792110152,0.104784216,-0.787951536,0.170777357,-0.675760339,0.21079,-0.55507
NAFO-SC-COD3NO-1953-2007-BAUM,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.677845889,0.064685,-0.6787
NAFO-SC-YELL3LNO-1960-2009-BAUM,Pleuronectidae,Limanda ferruginea,-1.3535347,0.816781529,-0.664008528,0.046904483,-0.677949833,0.012601,-0.67988
RIDEM-WINFLOUNDRI-1959-2007-COLLIE,Pleuronectidae,Pseudopleuronectes americanus,-1.3535347,0.816781529,-0.664182845,0.117922038,-0.685439671,0.062528,-0.72557
NEFSC-CODGOM-1893-2008-BAUM,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.6901471,0.24092,-0.64209
DFO-PAC-RSOLEHSTR-1945-2001-COLLIE,Pleuronectidae,Lepidopsetta bilineata,-1.3535347,0.816781529,-0.699061574,0.083161924,-0.691244283,0.17577,-0.6333
ICCAT-ALBANATL-1929-2005-WORM,Scombridae,Thunnus alalunga,-0.955109392,0.020134239,-0.962159395,0.813151955,-0.694319528,0.10146,-0.69091
NWWG-CODICE-1952-2006-MINTO,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.69441376,0.084747,-0.69764
ICCAT-SWORDSATL-1970-2005-JENSEN,Xiphiidae,Xiphias gladius,-0.975256508,0.022543226,-0.97124101,0.625852833,-0.700433148,0.026971,-0.6995
WGNSDS-HADVIa-1977-2006-MINTO,Gadidae,Melanogrammus aeglefinus,-0.832529998,0.17817373,-0.80228666,0.26048854,-0.718748589,0.29195,-0.42211
WGSSDS-SOLECS-1970-2006-JENNINGS,Soleidae,Solea vulgaris,-0.792110152,0.104784216,-0.787951536,0.170777357,-0.723939326,0.12393,-0.69766
MARAM-SARDSA-1984-2006-deMoor,Clupeidae,Sardinops sagax,-0.803065534,0.226527241,-0.734666096,0.123071163,-0.729700408,0.30996,-0.5818
CSIRO-SWHITSE-1945-2007-FULTON,Sillaginidae,Sillago flindersi,-0.756141742,0.040453267,-0.750503023,0.025701381,-0.744212531,0.092678,-0.73771
AFSC-WPOLLEBS-1963-2008-MELNYCHUK,Gadidae,Theragra chalcogramma,-0.832529998,0.17817373,-0.776772945,0.061463822,-0.759675151,0.19081,-0.58715
WGSSDS-WHITVIIek-1982-2007-JENNINGS,Gadidae,Merlangius merlangus,-0.832529998,0.17817373,-0.78206398,0.10200771,-0.766170592,0.19447,-0.56976
AFWG-POLLNEAR-1957-2006-MINTO,Gadidae,Pollachius virens,-0.832529998,0.17817373,-0.796220762,0.03647951,-0.770269946,0.11647,-0.60894
DFO-PAC-HERRCC-1951-2007-COLLIE,Clupeidae,Clupea pallasii,-0.803065534,0.226527241,-0.801993083,0.047377882,-0.781650425,0.26052,-0.45462
DFO-PAC-HERRSOG-1951-2007-COLLIE,Clupeidae,Clupea pallasii,-0.803065534,0.226527241,-0.801993083,0.047377882,-0.783167024,0.2661,-0.44035
WGHMM-HAKENRTN-1977-2007-JENNINGS,Merlucciidae,Merluccius merluccius,-1.12536129,0.513029094,-0.790075603,0.073629909,-0.783825923,0.16137,-0.75695
WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,Gadidae,Merlangius merlangus,-0.832529998,0.17817373,-0.78206398,0.10200771,-0.787426435,0.26968,-0.877
DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE,Gadidae,Pollachius virens,-0.832529998,0.17817373,-0.796220762,0.03647951,-0.791018868,0.16362,-0.74178
WGNSDS-SOLEIS-1968-2006-MINTO,Soleidae,Solea vulgaris,-0.792110152,0.104784216,-0.787951536,0.170777357,-0.791587409,0.20651,-0.78914
DFO-PAC-HERRWCVANI-1951-2007-COLLIE,Clupeidae,Clupea pallasii,-0.803065534,0.226527241,-0.801993083,0.047377882,-0.797381408,0.26113,-0.73145
NEFSC-MONKSGBMATL-1964-2006-RICHARDS,Lophiidae,Lophius americanus,-0.825206301,0.042553039,-0.820648309,0.020381946,-0.8012824,0.097653,-0.75103
WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO,Gadidae,Pollachius virens,-0.832529998,0.17817373,-0.796220762,0.03647951,-0.802569593,0.062572,-0.81198
DFO-PAC-HERRQCI-1951-2007-COLLIE,Clupeidae,Clupea pallasii,-0.803065534,0.226527241,-0.801993083,0.047377882,-0.803271177,0.3623,-0.85604
CSIRO-SILVERFISHSE-1978-2006-FULTON,Centrolophidae,Seriolella punctata,-0.822365467,0.042348785,-0.815586519,0.112438269,-0.805656177,0.14483,-0.76982
WGNSSK-HADNS-IIIa-1963-2006-MINTO,Gadidae,Melanogrammus aeglefinus,-0.832529998,0.17817373,-0.80228666,0.26048854,-0.807993401,0.42488,-0.8714
NWWG-POLLFAPL-1958-2006-MINTO,Gadidae,Pollachius virens,-0.832529998,0.17817373,-0.796220762,0.03647951,-0.811545401,0.19258,-1.0635
WGNSSK-NPOUTNS-1983-2007-MINTO,Gadidae,Trisopterus esmarkii,-0.832529998,0.17817373,-0.817837281,0.046264528,-0.816914087,0.2957,-0.73824
NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN,Gadidae,Micromesistius australis,-0.832529998,0.17817373,-0.820769442,0.075319751,-0.818600896,0.26514,-0.73646
CSIRO-WAREHOUWSE-1984-2006-FULTON,Centrolophidae,Seriolella brama,-0.822365467,0.042348785,-0.828251969,0.114691105,-0.824845255,0.32615,-0.80244
CSIRO-WAREHOUESE-1984-2006-FULTON,Centrolophidae,Seriolella brama,-0.822365467,0.042348785,-0.828251969,0.114691105,-0.833031466,0.65755,-1.3278
NEFSC-MONKGOMNGB-1964-2006-RICHARDS,Lophiidae,Lophius americanus,-0.825206301,0.042553039,-0.820648309,0.020381946,-0.833591324,0.27208,-1.1315
NWWG-HADFAPL-1955-2006-MINTO,Gadidae,Melanogrammus aeglefinus,-0.832529998,0.17817373,-0.80228666,0.26048854,-0.838567729,0.24319,-0.95296
DFO-PAC-HERRPRD-1951-2007-COLLIE,Clupeidae,Clupea pallasii,-0.803065534,0.226527241,-0.801993083,0.047377882,-0.840248162,0.16357,-1.093
NEFSC-TILEMATLC-1973-2008-NITSCHKE,Malacanthidae,Lopholatilus chamaeleonticeps,-1.335115094,0.050863052,-1.338178686,0.514079286,-0.851833735,0.019777,-0.85169
AFSC-ATKABSAI-1976-2009-STANTON,Hexagrammidae,Pleurogrammus monopterygius,-0.859156532,0.107610943,-0.856501405,0.040747277,-0.854550766,0.26576,-0.78485
DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE,Gadidae,Melanogrammus aeglefinus,-0.832529998,0.17817373,-0.80228666,0.26048854,-0.860575759,0.094134,-0.89257
WGBFAS-SPRAT22-32-1973-2007-JENNINGS,Clupeidae,Sprattus sprattus,-0.803065534,0.226527241,-0.87148276,0.030543328,-0.874706608,0.51746,-1.1852
WGNPBW-BWHITNEA-1980-2007-JENNINGS,Gadidae,Micromesistius poutassou,-0.832529998,0.17817373,-0.883058391,0.034635879,-0.893923439,0.22088,-1.0923
ICCAT-BIGEYEATL-1950-2005-JENSEN,Scombridae,Thunnus obesus,-0.955109392,0.020134239,-0.970023518,0.261603625,-0.895258453,0.014366,-0.89496
DFO-HAD5Zejm-1968-2003-PREFONTAINE,Gadidae,Melanogrammus aeglefinus,-0.832529998,0.17817373,-0.80228666,0.26048854,-0.899940733,0.11795,-0.98467
WGMHSA-MACKNEICES-1972-2007-JENNINGS,Scombridae,Scomber scombrus,-0.955109392,0.020134239,-0.934007803,0.037843031,-0.90688924,0.096964,-0.81584
DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.908119121,0.082474,-0.92804
DFO-PAC-PCODWCVANI-1956-2002-COLLIE,Gadidae,Gadus macrocephalus,-0.832529998,0.17817373,-0.910382557,0.063842396,-0.917556478,0.53094,-1.4054
DFO-PAC-PCODHS-1956-2005-COLLIE,Gadidae,Gadus macrocephalus,-0.832529998,0.17817373,-0.910382557,0.063842396,-0.918248603,0.35107,-1.1066
AFSC-PCODGA-1964-2008-MELNYCHUK,Gadidae,Gadus macrocephalus,-0.832529998,0.17817373,-0.910382557,0.063842396,-0.919823442,0.079306,-0.93669
AFSC-PCODBSAI-1964-2008-MELNYCHUK,Gadidae,Gadus macrocephalus,-0.832529998,0.17817373,-0.910382557,0.063842396,-0.927314082,0.19078,-1.1386
MARAM-ANCHOSA-1984-2006-deMoor,Engraulidae,Engraulis encrasicolus,-0.950270722,0.036658032,-0.948672742,0.132337897,-0.946951461,0.40228,-0.86045
ICCAT-ATBTUNAEATL-1969-2007-WORM,Scombridae,Thunnus thynnus,-0.955109392,0.020134239,-0.952094798,0.0368103,-0.949954198,0.18907,-0.90152
DFO-COD5Zjm-1978-2003-PREFONTAINE,Gadidae,Gadus morhua,-0.832529998,0.17817373,-0.73556314,0.233211182,-0.971646411,0.11065,-1.0172
SEFSC-SPANMACKSATLC-1950-2008-JENSEN,Scombridae,Scomberomorus maculatus,-0.955109392,0.020134239,-0.966429928,0.029659555,-0.974254925,0.046584,-0.98159
