assessorid,basin,stockid
IATTC,East Pacific,BIGEYEEPAC
IATTC,East Pacific,SKJEPAC
IATTC,East Pacific,STMARLINNEPAC
IATTC,East Pacific,SWORDEPAC
IATTC,East Pacific,YFINEPAC
ICCAT,Med,ALBAMED
ICCAT,North Atlantic,ALBANATL
ICCAT,South Atlantic,ALBASATL
ICCAT,East Atlantic,ATBTUNAEATL
ICCAT,West Atlantic,ATBTUNAWATL
ICCAT,East Atlantic,BIGEYEATL
ICCAT,North Atlantic,BMARLINATL
ICCAT,Atlantic,SAILEATL
ICCAT,West Atlantic,SAILWATL
ICCAT,East Atlantic,SKJEATL
ICCAT,West Atlantic,SKJWATL
ICCAT,Med,SWORDMED
ICCAT,North Atlantic,SWORDNATL
ICCAT,South Atlantic,SWORDSATL
ICCAT,North Atlantic,WMARLINATL
ICCAT,Atlantic,YFINATL
IOTC,Indian,ALBAIO
IOTC,Indian,BIGEYEIO
IOTC,Indian,BLKMARLINIO
IOTC,Indian,BMARLINIO
IOTC,Indian,SKJCIO
IOTC,Indian,STMARLINIO
IOTC,Indian,SWORDIO
IOTC,Indian,YFINEIO
ISC,North Pacific,ALBANPAC
ISC,North Pacific,BLSHARNPAC
ISC,North Pacific,BMARLINPAC
ISC,Pacific,PACBTUNA
ISC,West Pacific,STMARLINWCNPAC
ISC,North Pacific,SWORDNPAC
SPC,South Pacific,ALBASPAC
SPC,West Pacific,BIGEYECWPAC
SPC,West Pacific,SKJCWPAC
SPC,West Pacific,STMARLINSWPO
SPC,West Pacific,YFINCWPAC